               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07201,            0.066133,            0.052724,             0.34195,             0.61375,              0.4491,             0.24118,            0.036554,            0.029393,            0.042907,           0.0033221,           0.0033221,            0.070101
                   1,            0.047397,            0.053643,            0.037732,             0.35424,              0.7754,             0.54995,             0.28946,            0.035546,            0.028152,            0.030529,           0.0065236,           0.0065236,             0.03997
                   2,            0.041851,            0.050635,            0.027824,             0.69016,               0.629,              0.6761,             0.40275,            0.034088,             0.03095,            0.027643,           0.0095932,           0.0095932,           0.0097058
                   3,            0.035161,            0.048887,            0.019433,             0.83608,             0.87157,             0.89969,             0.61893,            0.027192,            0.025759,            0.009556,            0.009406,            0.009406,            0.009406
                   4,             0.03122,            0.047655,            0.015043,             0.88874,             0.86034,             0.92261,             0.70138,            0.023832,            0.024484,            0.011374,            0.009406,            0.009406,            0.009406
                   5,            0.028912,             0.04604,            0.012073,             0.67227,             0.64883,             0.67535,             0.48066,            0.034773,            0.044934,            0.028373,            0.009208,            0.009208,            0.009208
                   6,            0.026723,            0.043228,           0.0099078,             0.91247,             0.88853,             0.93815,             0.72694,            0.022569,            0.023368,           0.0072007,             0.00901,             0.00901,             0.00901
                   7,            0.026027,             0.04351,           0.0094228,             0.88414,             0.83411,             0.90105,              0.7354,            0.019368,            0.024422,             0.01237,            0.008812,            0.008812,            0.008812
                   8,            0.024524,            0.041002,           0.0080357,             0.96048,              0.9403,             0.96374,             0.80333,            0.018543,            0.021364,           0.0027165,            0.008614,            0.008614,            0.008614
                   9,            0.023948,            0.040488,           0.0069985,             0.95047,             0.93072,             0.96443,             0.82651,            0.016606,            0.020327,           0.0050624,            0.008416,            0.008416,            0.008416
                  10,            0.022845,             0.03925,            0.006301,             0.97199,             0.94544,             0.96204,             0.80181,              0.0167,            0.020441,           0.0025735,            0.008218,            0.008218,            0.008218
                  11,             0.02228,            0.038727,           0.0058032,             0.96047,             0.95415,             0.96738,             0.84349,            0.015086,            0.019103,           0.0020413,             0.00802,             0.00802,             0.00802
                  12,            0.021579,            0.036912,           0.0050498,             0.95882,             0.93288,             0.96382,             0.83553,             0.01663,            0.020292,           0.0028503,            0.007822,            0.007822,            0.007822
                  13,            0.020989,            0.037197,           0.0045421,             0.92953,             0.87138,              0.9306,             0.76751,            0.019668,            0.024995,            0.006306,            0.007624,            0.007624,            0.007624
                  14,            0.020626,              0.0367,           0.0045044,             0.94525,             0.95049,             0.96635,             0.85505,            0.015041,            0.019607,           0.0022827,            0.007426,            0.007426,            0.007426
                  15,             0.02057,            0.036423,           0.0043217,             0.95388,             0.92449,              0.9585,             0.84399,            0.015309,            0.020577,           0.0021017,            0.007228,            0.007228,            0.007228
                  16,             0.01954,            0.035976,            0.004168,             0.95938,             0.93546,              0.9624,             0.84644,            0.014764,            0.019835,           0.0021434,             0.00703,             0.00703,             0.00703
                  17,            0.019469,            0.035732,           0.0036134,             0.96477,             0.94683,             0.96714,             0.86538,            0.013681,            0.018756,           0.0014654,            0.006832,            0.006832,            0.006832
                  18,            0.018858,            0.034107,           0.0035229,             0.96696,             0.95068,             0.96722,             0.86122,            0.013393,            0.018287,           0.0014889,            0.006634,            0.006634,            0.006634
